userID,Location,Age
1,Italy,27
2,Mexico,33
3,England,49
4,Bangladesh,34
5,Italy,21
6,Australia,50
7,Mexico,47
8,Russia,32
9,Canada,31
10,New Zealand,17
11,New Zealand,18
12,Italy,17
13,Australia,22
14,Mexico,42
15,Bangladesh,35
16,Italy,43
17,Mexico,19
18,Mexico,43
19,Australia,37
20,England,27
21,Canada,44
22,Italy,37
23,Russia,37
24,England,30
25,Bangladesh,12
26,Italy,41
27,Australia,25
28,USA,31
29,Russia,50
30,Bangladesh,12
31,Australia,13
32,South Africa,28
33,England,47
34,New Zealand,41
35,Canada,15
36,New Zealand,29
37,Australia,45
38,USA,40
39,Australia,34
40,Russia,50
41,Bangladesh,27
42,Mexico,23
43,USA,48
44,Mexico,48
45,Russia,21
46,Australia,39
47,New Zealand,26
48,Russia,31
49,Bangladesh,16
50,England,50
51,Mexico,28
52,Russia,16
53,England,19
54,England,20
55,Bangladesh,44
56,Canada,26
57,Mexico,21
58,Russia,39
59,England,24
60,Italy,50
61,Mexico,19
62,Italy,19
63,USA,21
64,USA,44
65,Canada,43
66,England,21
67,Canada,26
68,England,27
69,Canada,31
70,Mexico,43
71,South Africa,44
72,Canada,45
73,Bangladesh,28
74,USA,33
75,Canada,23
76,Australia,28
77,USA,45
78,Canada,17
79,New Zealand,49
80,Bangladesh,16
81,England,26
82,Russia,33
83,New Zealand,47
84,Canada,17
85,Canada,37
86,Mexico,37
87,Bangladesh,29
88,England,28
89,England,33
90,Russia,24
91,England,35
92,Bangladesh,44
93,USA,20
94,Australia,42
95,Italy,38
96,England,30
97,Australia,28
98,USA,13
99,Canada,44
100,Mexico,47
101,Canada,28
102,Canada,23
103,Bangladesh,31
104,Canada,20
105,Italy,16
106,Italy,46
107,USA,45
108,Bangladesh,41
109,Canada,18
110,USA,40
111,Bangladesh,16
112,Italy,34
113,England,25
114,South Africa,36
115,Bangladesh,43
116,Russia,39
117,South Africa,21
118,Italy,21
119,Russia,27
120,England,32
121,England,16
122,Mexico,46
123,South Africa,37
124,South Africa,49
125,Australia,17
126,Italy,18
127,Australia,30
128,Canada,30
129,South Africa,25
130,USA,46
131,Australia,45
132,Bangladesh,14
133,Canada,38
134,England,33
135,New Zealand,44
136,Mexico,46
137,Italy,27
138,Canada,44
139,Italy,14
140,Italy,35
141,New Zealand,25
142,Italy,44
143,New Zealand,48
144,Russia,48
145,Bangladesh,26
146,Mexico,19
147,England,35
148,New Zealand,25
149,Russia,41
150,Bangladesh,34
151,Bangladesh,26
152,South Africa,39
153,Mexico,38
154,South Africa,45
155,USA,27
156,Italy,23
157,Canada,45
158,England,24
159,Mexico,19
160,Canada,39
161,England,17
162,Italy,14
163,Canada,47
164,Canada,17
165,Canada,44
166,USA,40
167,Australia,31
168,Bangladesh,33
169,Russia,16
170,Canada,31
171,USA,48
172,Bangladesh,33
173,Australia,34
174,Australia,36
175,England,19
176,Russia,27
177,Bangladesh,22
178,South Africa,43
179,Bangladesh,45
180,England,23
181,South Africa,34
182,England,41
183,Mexico,25
184,Italy,15
185,New Zealand,16
186,Bangladesh,27
187,Russia,48
188,England,20
189,New Zealand,13
190,England,12
191,Australia,50
192,Bangladesh,31
193,Australia,18
194,Australia,16
195,New Zealand,25
196,Bangladesh,23
197,Russia,50
198,USA,41
199,Canada,28
200,Bangladesh,15
201,England,26
202,Italy,31
203,Russia,38
204,Bangladesh,30
205,South Africa,24
206,Bangladesh,30
207,Australia,46
208,Italy,39
209,South Africa,38
210,South Africa,13
211,New Zealand,44
212,New Zealand,42
213,USA,17
214,Italy,49
215,Russia,45
216,Italy,38
217,England,13
218,USA,25
219,Bangladesh,43
220,Italy,13
221,Russia,45
222,Italy,14
223,Australia,22
224,USA,43
225,Italy,26
226,Australia,33
227,Bangladesh,23
228,New Zealand,38
229,Australia,37
230,Australia,39
231,South Africa,39
232,South Africa,21
233,USA,17
234,Mexico,13
235,Canada,25
236,England,12
237,England,29
238,Mexico,33
239,Australia,40
240,New Zealand,33
241,Australia,35
242,Bangladesh,27
243,Bangladesh,49
244,Russia,38
245,Mexico,26
246,Mexico,48
247,Bangladesh,28
248,England,29
249,New Zealand,15
250,England,42
251,Mexico,25
252,Australia,32
253,Bangladesh,17
254,USA,19
255,New Zealand,43
256,New Zealand,28
257,Mexico,14
258,Mexico,20
259,South Africa,18
260,Bangladesh,36
261,Australia,33
262,USA,40
263,Italy,38
264,Mexico,24
265,Bangladesh,18
266,New Zealand,25
267,Mexico,26
268,USA,46
269,Canada,40
270,Russia,41
271,Bangladesh,44
272,Russia,16
273,Australia,36
274,South Africa,25
275,England,50
276,England,35
277,New Zealand,47
278,Australia,12
279,USA,47
280,New Zealand,26
281,Russia,33
282,South Africa,17
283,Mexico,38
284,England,27
285,Bangladesh,24
286,South Africa,17
287,Bangladesh,34
288,Canada,36
289,Australia,42
290,Russia,48
291,New Zealand,12
292,Australia,50
293,Italy,34
294,Australia,16
295,England,24
296,USA,46
297,New Zealand,49
298,South Africa,24
299,England,48
300,New Zealand,44
301,South Africa,13
302,Australia,32
303,USA,19
304,Australia,25
305,Canada,48
306,Canada,28
307,USA,39
308,USA,40
309,USA,20
310,Canada,19
311,England,37
312,Russia,23
313,Mexico,20
314,Russia,23
315,New Zealand,39
316,Russia,44
317,USA,34
318,England,48
319,Bangladesh,41
320,Russia,21
321,New Zealand,48
322,New Zealand,30
323,USA,34
324,New Zealand,49
325,Italy,42
326,Australia,27
327,Russia,38
328,New Zealand,29
